sg, 0.04242%
sh, 0.60515%
si, 0.53249%
sj, 0.00947%
sk, 0.09677%
sl, 0.10855%
sm, 0.15845%
sn, 0.10370%
so, 0.55291%
sp, 0.20541%
sq, 0.01616%
sr, 0.06255%
ss, 0.57567%
st, 0.98162%
su, 0.17827%
sv, 0.02244%
sw, 0.21953%
sx, 0.00076%
sy, 0.03585%
sz, 0.00068%
ta, 0.60117%
tb, 0.09805%
tc, 0.08587%
td, 0.06856%
te, 0.78175%
tf, 0.07728%
tg, 0.02873%
th, 3.14522%
ti, 0.73217%
tj, 0.00601%
tk, 0.02240%
tl, 0.16677%
tm, 0.08161%
tn, 0.05997%
to, 1.15388%
tp, 0.06498%
tq, 0.00414%
tr, 0.27174%
ts, 0.33489%
tt, 0.56532%
tu, 0.17779%
tv, 0.01027%
tw, 0.23091%
ty, 0.15781%
tz, 0.00637%
ua, 0.07250%
ub, 0.04035%
uc, 0.08830%
ud, 0.06383%
ue, 0.07676%
uf, 0.01580%
ug, 0.13422%
uh, 0.01448%
ui, 0.07445%
uj, 0.00048%
uk, 0.01950%
ul, 0.25562%
um, 0.06259%
un, 0.34878%
uo, 0.00919%
up, 0.11372%
uq, 0.00016%
ur, 0.32542%
us, 0.36911%
ut, 0.44567%
uu, 0.00147%
uv, 0.00545%
uw, 0.01635%
ux, 0.00171%
uy, 0.00294%
uz, 0.02435%
va, 0.08858%
vb, 0.00374%
vc, 0.00362%
vd, 0.00342%
ve, 0.57953%
vf, 0.00306%
vg, 0.00251%
vh, 0.00975%
vi, 0.19359%
vj, 0.00032%
vk, 0.00127%
vl, 0.01158%
vm, 0.00183%
vn, 0.02368%
vo, 0.06180%
vp, 0.00243%
vq, 0.00012%
vr, 0.00840%
vs, 0.03215%
vt, 0.01011%
vu, 0.00127%
vv, 0.00032%
vw, 0.01771%
vx, 0.00004%
vy, 0.00509%
vz, 0.00004%
wa, 0.52203%
wb, 0.01377%
wc, 0.01242%
wd, 0.02475%
we, 0.31272%
wf, 0.01261%
wg, 0.00446%
wh, 0.50651%
wi, 0.42215%
wj, 0.00096%
wk, 0.00374%
wl, 0.01488%
wm, 0.01162%
wn, 0.09661%
wo, 0.19625%
wp, 0.00760%
wq, 0.00107%
wr, 0.02722%
ws, 0.05650%
wt, 0.05085%
wu, 0.00414%
wv, 0.00203%
ww, 0.03199%
wx, 0.00004%
wy, 0.00792%
wz, 0.00008%
xa, 0.01468%
xb, 0.00032%
xc, 0.02427%
xd, 0.00008%
xe, 0.01249%
xf, 0.00060%
xg, 0.00008%
xh, 0.00354%
xi, 0.01647%
xj, 0.00004%
xk, 0.00004%
xl, 0.00040%
xm, 0.00068%
xn, 0.00032%
xo, 0.00107%
xp, 0.05420%
xq, 0.00016%
xr, 0.00044%
xs, 0.00088%
xt, 0.02037%
xu, 0.00080%
xv, 0.00346%
xw, 0.00143%
xx, 0.00314%
xy, 0.00048%
ya, 0.24014%
yb, 0.06729%
yc, 0.05217%
yd, 0.05734%
ye, 0.12626%
yf, 0.05603%
yg, 0.02399%
yh, 0.08945%
yi, 0.11225%
yj, 0.00434%
yk, 0.00919%
yl, 0.03840%
ym, 0.04035%
yn, 0.02801%
yo, 0.30950%
yp, 0.03904%
yq, 0.00223%
yr, 0.03689%
ys, 0.15232%
yt, 0.20811%
yu, 0.01174%
yv, 0.00700%
yw, 0.10219%
yx, 0.00004%
yy, 0.01305%
yz, 0.00060%
za, 0.00661%
zb, 0.00028%
zc, 0.00016%
zd, 0.00127%
ze, 0.02933%
zf, 0.00020%
zg, 0.00004%
zh, 0.00645%
zi, 0.00999%
zk, 0.00016%
zl, 0.00187%
zm, 0.00263%
zn, 0.00088%
zo, 0.02543%
zp, 0.00012%
zq, 0.00004%
zr, 0.00012%
zs, 0.00032%
zt, 0.00052%
zu, 0.00521%
zv, 0.00016%
zw, 0.00072%
zy, 0.00056%
zz, 0.00187%
